# Phase, Radial Acceleration (km/s$^2$)
0.05380,23.65779
0.06013,1.98915
0.06962,2.96190
0.07278,6.90902
0.07911,10.83744
0.07911,17.74646
0.08544,12.80788
0.08544,15.76978
0.08861,11.84760
0.10127,10.83744
0.10127,5.91757
0.10443,4.93234
0.10759,10.83120
0.11076,28.58390
0.11709,10.84367
0.12025,20.68966
0.12025,16.75500
0.12342,12.82035
0.12975,9.83975
0.13608,5.93627
0.14873,3.94712
0.15190,12.83282
0.16456,17.73399
0.16456,10.86862
0.18038,8.86700
0.18038,7.89424
0.18671,4.93858
0.19304,1.98291
0.19937,2.96190
0.20253,0.97275
0.20886,11.79772
0.22152,12.82035
0.22785,4.91364
0.23418,2.94943
0.23734,9.83975
0.24367,14.78456
0.24684,2.96814
0.25316,5.89262
0.26266,5.89886
0.26899,12.82035
0.27532,10.82497
0.28165,0.01871
0.29114,3.90971
0.30696,6.89032
0.31013,5.90509
0.31329,3.92218
0.32278,1.97668
0.32595,4.91364
0.33228,8.84205
0.34494,10.84367
0.34810,17.72152
0.35443,2.96190
0.35759,3.92218
0.36709,5.90509
0.37025,7.85683
0.38291,9.83351
0.39241,9.85222
0.39241,7.86930
0.39873,12.79541
0.40506,4.93234
0.40823,22.62892
0.42405,6.89032
0.42722,3.93465
0.43038,3.92842
0.43671,24.61807
0.44304,3.95959
0.45253,6.87784
0.46203,30.51693
0.47468,5.91757
0.47785,0.97275
0.48418,13.78063
0.49051,193.62100
0.72785,11.79772
0.74051,14.82197
0.76266,2.94943
0.76582,2.95567
0.76582,8.87947
0.77215,7.87554
0.77532,15.76978
0.77848,7.87554
0.78165,1.95174
0.79114,115.54530
0.93038,27.60491
0.93987,3.94712
0.94304,1.95174
0.95253,19.74185
0.97152,17.74646
0.97785,11.83513
0.98418,71.07938
1.05696,23.65779
1.06329,2.96814
1.06962,1.97668
1.07278,3.92842
1.07911,10.84367
1.08228,5.90509
1.08544,12.80788
1.08544,2.96814
1.09177,1.98915
1.10127,4.93234
1.10443,4.93234
1.10759,10.82497
1.11392,11.82266
1.11392,5.91133
1.11392,9.85222
1.11392,8.84829
1.12342,20.68966
1.12342,4.91987
1.12658,13.79934
1.12975,10.83120
1.13291,1.00393
1.14241,4.93234
1.14557,2.96814
1.15190,1.98291
1.15823,4.91364
1.16456,16.75500
1.16772,5.88639
1.18038,8.86076
1.18354,6.90279
1.18671,5.91757
1.18987,2.96814
1.19620,2.96814
1.20253,2.94319
1.20886,1.01640
1.22468,10.83120
1.22785,12.82035
1.23418,6.89032
1.23734,1.95797
1.24367,10.83744
1.24367,16.75500
1.24684,1.98291
1.25316,4.90117
1.26582,6.88408
1.27215,12.81412
1.27532,8.86076
1.27848,1.95174
1.28797,0.01247
1.29430,2.93072
1.30696,7.86930
1.31329,5.90509
1.31646,3.92842
1.32278,1.98915
1.33228,3.94089
1.33228,8.83582
1.34810,10.84991
1.35443,16.74877
1.35443,1.00393
1.36392,1.96421
1.36709,6.87784
1.37658,8.85452
1.38291,0.01247
1.38924,9.83975
1.39557,1.98291
1.40190,12.79541
1.40823,4.93858
1.41456,22.64139
1.42405,6.88408
1.43038,3.92842
1.43671,3.93465
1.43987,23.63285
1.44620,1.98291
1.45253,5.88639
1.46519,23.62038
1.47785,6.89655
1.47785,4.94482
1.48734,13.78063
