# Phase, Radial Velocity (km/s)
0.000,76.847
0.001,77.726
0.002,78.605
0.002,79.484
0.003,80.361
0.004,81.239
0.005,82.116
0.005,82.992
0.006,83.868
0.007,84.744
0.008,85.618
0.008,86.492
0.009,87.366
0.010,88.239
0.011,89.111
0.011,89.983
0.012,90.854
0.013,91.724
0.014,92.593
0.014,93.462
0.015,94.330
0.016,95.197
0.017,96.063
0.017,96.929
0.018,97.793
0.019,98.657
0.020,99.520
0.020,100.382
0.021,101.243
0.022,102.103
0.023,102.962
0.023,103.820
0.024,104.678
0.025,105.534
0.026,106.389
0.026,107.243
0.027,108.096
0.028,108.948
0.029,109.798
0.029,110.648
0.030,111.497
0.031,112.344
0.032,113.190
0.032,114.035
0.033,114.879
0.034,115.721
0.035,116.562
0.035,117.402
0.036,118.241
0.037,119.078
0.038,119.914
0.038,120.749
0.039,121.582
0.040,122.414
0.041,123.244
0.041,124.074
0.042,124.901
0.043,125.727
0.044,126.552
0.044,127.375
0.045,128.197
0.046,129.017
0.047,129.835
0.047,130.652
0.048,131.468
0.049,132.281
0.050,133.093
0.050,133.904
0.051,134.713
0.052,135.520
0.053,136.325
0.053,137.129
0.054,137.931
0.055,138.731
0.056,139.530
0.056,140.327
0.057,141.121
0.058,141.915
0.059,142.706
0.059,143.495
0.060,144.283
0.061,145.068
0.062,145.852
0.062,146.634
0.063,147.414
0.064,148.191
0.065,148.967
0.065,149.741
0.066,150.513
0.067,151.283
0.068,152.051
0.068,152.817
0.069,153.580
0.070,154.342
0.071,155.101
0.071,155.859
0.072,156.614
0.073,157.367
0.074,158.118
0.074,158.867
0.075,159.613
0.076,160.357
0.077,161.099
0.077,161.839
0.078,162.577
0.079,163.312
0.080,164.045
0.080,164.775
0.081,165.503
0.082,166.229
0.083,166.953
0.083,167.674
0.084,168.392
0.085,169.108
0.086,169.822
0.086,170.534
0.087,171.243
0.088,171.949
0.089,172.653
0.089,173.354
0.090,174.053
0.091,174.749
0.092,175.443
0.092,176.134
0.093,176.823
0.094,177.509
0.095,178.192
0.095,178.873
0.096,179.551
0.097,180.226
0.098,180.899
0.098,181.569
0.099,182.236
0.100,182.901
0.101,183.563
0.101,184.222
0.102,184.878
0.103,185.532
0.104,186.182
0.104,186.830
0.105,187.475
0.106,188.118
0.107,188.757
0.107,189.393
0.108,190.027
0.109,190.658
0.110,191.286
0.110,191.911
0.111,192.533
0.112,193.152
0.113,193.768
0.113,194.381
0.114,194.991
0.115,195.598
0.116,196.202
0.116,196.803
0.117,197.401
0.118,197.996
0.119,198.587
0.119,199.176
0.120,199.762
0.121,200.344
0.122,200.924
0.122,201.500
0.123,202.073
0.124,202.643
0.125,203.210
0.125,203.773
0.126,204.334
0.127,204.891
0.128,205.445
0.128,205.996
0.129,206.543
0.130,207.087
0.131,207.628
0.131,208.166
0.132,208.700
0.133,209.231
0.134,209.759
0.134,210.283
0.135,210.804
0.136,211.322
0.137,211.836
0.137,212.347
0.138,212.855
0.139,213.359
0.140,213.860
